# bin number, rate
4.40000e+01,1.61097e-06
4.50000e+01,4.56912e-05
4.60000e+01,9.34189e-04
4.70000e+01,1.40609e-02
4.80000e+01,1.58832e-01
4.90000e+01,1.37054e+00
5.00000e+01,9.18244e+00
5.10000e+01,4.84922e+01
5.20000e+01,2.04679e+02
5.30000e+01,6.99461e+02
5.40000e+01,1.95859e+03
5.50000e+01,4.54422e+03
5.60000e+01,8.82757e+03
5.70000e+01,1.44992e+04
5.80000e+01,2.03227e+04
5.90000e+01,2.45236e+04
6.00000e+01,2.56945e+04
6.10000e+01,2.35710e+04
6.20000e+01,1.90923e+04
6.30000e+01,1.37763e+04
6.40000e+01,8.94268e+03
6.50000e+01,5.28333e+03
6.60000e+01,2.88284e+03
6.70000e+01,1.48133e+03
6.80000e+01,7.35729e+02
6.90000e+01,3.65142e+02
7.00000e+01,1.87896e+02
7.10000e+01,1.03454e+02
7.20000e+01,6.19209e+01
7.30000e+01,4.02138e+01
7.40000e+01,2.79847e+01
7.50000e+01,2.05616e+01
7.60000e+01,1.57479e+01
7.70000e+01,1.24468e+01
7.80000e+01,1.00753e+01
7.90000e+01,8.30961e+00
8.00000e+01,6.97379e+00
