# bin number, rate
2.20000e+01,1.09812e-03
2.30000e+01,8.62030e-02
2.40000e+01,3.31155e+00
2.50000e+01,6.78321e+01
2.60000e+01,7.96639e+02
2.70000e+01,5.70643e+03
2.80000e+01,2.62882e+04
2.90000e+01,8.15251e+04
3.00000e+01,1.77073e+05
3.10000e+01,2.78818e+05
3.20000e+01,3.28019e+05
3.30000e+01,2.96076e+05
3.40000e+01,2.09890e+05
3.50000e+01,1.19306e+05
3.60000e+01,5.53877e+04
3.70000e+01,2.13491e+04
3.80000e+01,6.93334e+03
3.90000e+01,1.92234e+03
4.00000e+01,4.60462e+02
4.10000e+01,9.63137e+01
4.20000e+01,1.77631e+01
4.30000e+01,2.91411e+00
4.40000e+01,4.28662e-01
4.50000e+01,5.69521e-02
4.60000e+01,6.87978e-03
4.70000e+01,7.60240e-04
4.80000e+01,7.72784e-05
4.90000e+01,7.26305e-06
5.00000e+01,6.34129e-07
5.10000e+01,5.16558e-08
