# angle, barns/sr
9.97772e+01,1.90036e-02
1.00279e+02,1.81612e-02
1.00780e+02,1.73639e-02
1.01281e+02,1.66157e-02
1.01783e+02,1.59201e-02
1.02284e+02,1.52798e-02
1.02786e+02,1.46967e-02
1.03287e+02,1.41720e-02
1.03788e+02,1.37060e-02
1.04290e+02,1.32985e-02
1.04791e+02,1.29485e-02
1.05292e+02,1.26543e-02
1.05794e+02,1.24137e-02
1.06295e+02,1.22237e-02
1.06797e+02,1.20811e-02
1.07298e+02,1.19820e-02
1.07799e+02,1.19224e-02
1.08301e+02,1.18977e-02
1.08802e+02,1.19032e-02
1.09304e+02,1.19342e-02
1.09805e+02,1.19858e-02
1.10306e+02,1.20530e-02
1.10808e+02,1.21310e-02
1.11309e+02,1.22153e-02
1.11811e+02,1.23014e-02
1.12312e+02,1.23852e-02
1.12813e+02,1.24629e-02
1.13315e+02,1.25311e-02
1.13816e+02,1.25870e-02
1.14318e+02,1.26280e-02
1.14819e+02,1.26523e-02
1.15320e+02,1.26586e-02
1.15822e+02,1.26458e-02
1.16323e+02,1.26139e-02
1.16825e+02,1.25630e-02
1.17326e+02,1.24939e-02
1.17827e+02,1.24079e-02
1.18329e+02,1.23068e-02
1.18830e+02,1.21928e-02
1.19331e+02,1.20684e-02
1.19833e+02,1.19366e-02
1.20334e+02,1.18005e-02
1.20836e+02,1.16635e-02
1.21337e+02,1.15292e-02
1.21838e+02,1.14010e-02
1.22340e+02,1.12827e-02
1.22841e+02,1.11777e-02
1.23343e+02,1.10893e-02
1.23844e+02,1.10208e-02
1.24345e+02,1.09750e-02
1.24847e+02,1.09544e-02
1.25348e+02,1.09612e-02
1.25850e+02,1.09970e-02
1.26351e+02,1.10630e-02
1.26852e+02,1.11600e-02
1.27354e+02,1.12880e-02
1.27855e+02,1.14465e-02
1.28357e+02,1.16346e-02
1.28858e+02,1.18506e-02
1.29359e+02,1.20923e-02
1.29861e+02,1.23571e-02
1.30362e+02,1.26417e-02
1.30864e+02,1.29424e-02
1.31365e+02,1.32550e-02
1.31866e+02,1.35750e-02
1.32368e+02,1.38976e-02
1.32869e+02,1.42178e-02
1.33370e+02,1.45302e-02
1.33872e+02,1.48296e-02
1.34373e+02,1.51107e-02
1.34875e+02,1.53681e-02
1.35376e+02,1.55968e-02
1.35877e+02,1.57920e-02
1.36379e+02,1.59491e-02
1.36880e+02,1.60640e-02
1.37382e+02,1.61331e-02
1.37883e+02,1.61534e-02
1.38384e+02,1.61222e-02
1.38886e+02,1.60379e-02
1.39387e+02,1.58994e-02
1.39889e+02,1.57063e-02
1.40390e+02,1.54591e-02
1.40891e+02,1.51589e-02
1.41393e+02,1.48079e-02
1.41894e+02,1.44088e-02
1.42396e+02,1.39652e-02
1.42897e+02,1.34815e-02
1.43398e+02,1.29626e-02
1.43900e+02,1.24143e-02
1.44401e+02,1.18428e-02
1.44903e+02,1.12549e-02
