# bin number, rate
9.40000e+01,8.79647e-07
9.50000e+01,6.30934e-06
9.60000e+01,3.98093e-05
9.70000e+01,2.21842e-04
9.80000e+01,1.09605e-03
9.90000e+01,4.81888e-03
1.00000e+02,1.89202e-02
1.01000e+02,6.65655e-02
1.02000e+02,2.10543e-01
1.03000e+02,6.00579e-01
1.04000e+02,1.54974e+00
1.05000e+02,3.62811e+00
1.06000e+02,7.72796e+00
1.07000e+02,1.50177e+01
1.08000e+02,2.66959e+01
1.09000e+02,4.35220e+01
1.10000e+02,6.52351e+01
1.11000e+02,9.01199e+01
1.12000e+02,1.15017e+02
1.13000e+02,1.35934e+02
1.14000e+02,1.49115e+02
1.15000e+02,1.52177e+02
1.16000e+02,1.44817e+02
1.17000e+02,1.28817e+02
1.18000e+02,1.07369e+02
1.19000e+02,8.40789e+01
1.20000e+02,6.20362e+01
1.21000e+02,4.32689e+01
1.22000e+02,2.86387e+01
1.23000e+02,1.80734e+01
1.24000e+02,1.09414e+01
1.25000e+02,6.40538e+00
1.26000e+02,3.66562e+00
1.27000e+02,2.08029e+00
1.28000e+02,1.19224e+00
1.29000e+02,7.04365e-01
1.30000e+02,4.37257e-01
1.31000e+02,2.88802e-01
1.32000e+02,2.03542e-01
1.33000e+02,1.52445e-01
1.34000e+02,1.20818e-01
1.35000e+02,1.01605e-01
1.36000e+02,9.18667e-02
1.37000e+02,9.09273e-02
1.38000e+02,9.93087e-02
1.39000e+02,1.17958e-01
1.40000e+02,1.47575e-01
