# bin number, rate
1.34000e+02,1.91812e-06
1.35000e+02,9.33451e-06
1.36000e+02,4.17326e-05
1.37000e+02,1.71728e-04
1.38000e+02,6.51602e-04
1.39000e+02,2.28384e-03
1.40000e+02,7.40698e-03
1.41000e+02,2.22656e-02
1.42000e+02,6.21373e-02
1.43000e+02,1.61245e-01
1.44000e+02,3.89679e-01
1.45000e+02,8.78351e-01
1.46000e+02,1.84930e+00
1.47000e+02,3.64208e+00
1.48000e+02,6.71891e+00
1.49000e+02,1.16266e+01
1.50000e+02,1.88968e+01
1.51000e+02,2.88855e+01
1.52000e+02,4.15800e+01
1.53000e+02,5.64353e+01
1.54000e+02,7.23135e+01
1.55000e+02,8.75844e+01
1.56000e+02,1.00393e+02
1.57000e+02,1.09037e+02
1.58000e+02,1.12349e+02
1.59000e+02,1.09957e+02
1.60000e+02,1.02348e+02
1.61000e+02,9.07177e+01
1.62000e+02,7.66735e+01
1.63000e+02,6.18812e+01
1.64000e+02,4.77642e+01
1.65000e+02,3.53205e+01
1.66000e+02,2.50722e+01
1.67000e+02,1.71249e+01
1.68000e+02,1.12875e+01
1.69000e+02,7.20654e+00
1.70000e+02,4.47873e+00
1.71000e+02,2.72748e+00
1.72000e+02,1.64222e+00
1.73000e+02,9.89263e-01
1.74000e+02,6.05209e-01
1.75000e+02,3.82682e-01
1.76000e+02,2.54831e-01
1.77000e+02,1.82034e-01
1.78000e+02,1.41917e-01
1.79000e+02,1.22501e-01
1.80000e+02,1.17780e-01
1.81000e+02,1.24965e-01
1.82000e+02,1.42771e-01
1.83000e+02,1.70354e-01
1.84000e+02,2.06643e-01
1.85000e+02,2.49992e-01
1.86000e+02,2.98074e-01
1.87000e+02,3.48004e-01
