# bin number, rate
9.80000e+01,8.87327e-03
9.90000e+01,5.50030e-02
1.00000e+02,3.02356e-01
1.01000e+02,1.47926e+00
1.02000e+02,6.46346e+00
1.03000e+02,2.53064e+01
1.04000e+02,8.90699e+01
1.05000e+02,2.82690e+02
1.06000e+02,8.11448e+02
1.07000e+02,2.11267e+03
1.08000e+02,5.00294e+03
1.09000e+02,1.08046e+04
1.10000e+02,2.13357e+04
1.11000e+02,3.86200e+04
1.12000e+02,6.42370e+04
1.13000e+02,9.84134e+04
1.14000e+02,1.39195e+05
1.15000e+02,1.82171e+05
1.16000e+02,2.21096e+05
1.17000e+02,2.49393e+05
1.18000e+02,2.62021e+05
1.19000e+02,2.56973e+05
1.20000e+02,2.35777e+05
1.21000e+02,2.02850e+05
1.22000e+02,1.64042e+05
1.23000e+02,1.25018e+05
1.24000e+02,9.00502e+04
1.25000e+02,6.15098e+04
1.26000e+02,4.00034e+04
1.27000e+02,2.48960e+04
1.28000e+02,1.49239e+04
1.29000e+02,8.69264e+03
1.30000e+02,4.97767e+03
1.31000e+02,2.84564e+03
1.32000e+02,1.65489e+03
1.33000e+02,9.98842e+02
1.34000e+02,6.36356e+02
1.35000e+02,4.31868e+02
1.36000e+02,3.12341e+02
1.37000e+02,2.39796e+02
1.38000e+02,1.95264e+02
1.39000e+02,1.69988e+02
1.40000e+02,1.60773e+02
1.41000e+02,1.67437e+02
1.42000e+02,1.91200e+02
1.43000e+02,2.33433e+02
1.44000e+02,2.94564e+02
1.45000e+02,3.73233e+02
