# bin number, rate
9.80000e+01,3.09392e-01
9.90000e+01,1.73139e+00
1.00000e+02,8.60610e+00
1.01000e+02,3.81304e+01
1.02000e+02,1.51098e+02
1.03000e+02,5.37259e+02
1.04000e+02,1.71950e+03
1.05000e+02,4.96842e+03
1.06000e+02,1.29984e+04
1.07000e+02,3.08767e+04
1.08000e+02,6.67730e+04
1.09000e+02,1.31803e+05
1.10000e+02,2.38058e+05
1.11000e+02,3.94383e+05
1.12000e+02,6.00671e+05
1.13000e+02,8.42961e+05
1.14000e+02,1.09236e+06
1.15000e+02,1.30983e+06
1.16000e+02,1.45622e+06
1.17000e+02,1.50398e+06
1.18000e+02,1.44570e+06
1.19000e+02,1.29574e+06
1.20000e+02,1.08473e+06
1.21000e+02,8.49622e+05
1.22000e+02,6.23648e+05
1.23000e+02,4.29687e+05
1.24000e+02,2.78310e+05
1.25000e+02,1.69712e+05
1.26000e+02,9.75723e+04
1.27000e+02,5.29636e+04
1.28000e+02,2.71799e+04
1.29000e+02,1.32041e+04
1.30000e+02,6.08001e+03
1.31000e+02,2.65687e+03
1.32000e+02,1.10312e+03
1.33000e+02,4.35679e+02
1.34000e+02,1.63864e+02
1.35000e+02,5.87550e+01
1.36000e+02,2.01053e+01
1.37000e+02,6.57242e+00
1.38000e+02,2.05456e+00
1.39000e+02,6.14771e-01
1.40000e+02,1.76244e-01
1.41000e+02,4.84525e-02
1.42000e+02,1.27852e-02
1.43000e+02,3.24083e-03
1.44000e+02,7.89823e-04
1.45000e+02,1.85217e-04
