# bin number, rate
4.61700e+03,2.16085e-01
4.61800e+03,2.69730e-01
4.61900e+03,3.36049e-01
4.62000e+03,4.17875e-01
4.62100e+03,5.18634e-01
4.62200e+03,6.42460e-01
4.62300e+03,7.94332e-01
4.62400e+03,9.80236e-01
4.62500e+03,1.20735e+00
4.62600e+03,1.48424e+00
4.62700e+03,1.82118e+00
4.62800e+03,2.23036e+00
4.62900e+03,2.72628e+00
4.63000e+03,3.32616e+00
4.63100e+03,4.05033e+00
4.63200e+03,4.92282e+00
4.63300e+03,5.97192e+00
4.63400e+03,7.23090e+00
4.63500e+03,8.73872e+00
4.63600e+03,1.05410e+01
4.63700e+03,1.26910e+01
4.63800e+03,1.52507e+01
4.63900e+03,1.82920e+01
4.64000e+03,2.18985e+01
4.64100e+03,2.61667e+01
4.64200e+03,3.12080e+01
4.64300e+03,3.71505e+01
4.64400e+03,4.41414e+01
4.64500e+03,5.23493e+01
4.64600e+03,6.19668e+01
4.64700e+03,7.32137e+01
4.64800e+03,8.63397e+01
4.64900e+03,1.01628e+02
4.65000e+03,1.19400e+02
4.65100e+03,1.40016e+02
4.65200e+03,1.63886e+02
4.65300e+03,1.91466e+02
4.65400e+03,2.23270e+02
4.65500e+03,2.59872e+02
4.65600e+03,3.01909e+02
4.65700e+03,3.50092e+02
4.65800e+03,4.05208e+02
4.65900e+03,4.68129e+02
4.66000e+03,5.39815e+02
4.66100e+03,6.21320e+02
4.66200e+03,7.13803e+02
4.66300e+03,8.18530e+02
4.66400e+03,9.36881e+02
4.66500e+03,1.07036e+03
4.66600e+03,1.22058e+03
4.66700e+03,1.38931e+03
4.66800e+03,1.57844e+03
4.66900e+03,1.79000e+03
4.67000e+03,2.02617e+03
4.67100e+03,2.28925e+03
4.67200e+03,2.58173e+03
4.67300e+03,2.90620e+03
4.67400e+03,3.26543e+03
4.67500e+03,3.66229e+03
4.67600e+03,4.09984e+03
4.67700e+03,4.58121e+03
4.67800e+03,5.10969e+03
4.67900e+03,5.68867e+03
4.68000e+03,6.32163e+03
4.68100e+03,7.01213e+03
4.68200e+03,7.76380e+03
4.68300e+03,8.58029e+03
4.68400e+03,9.46529e+03
4.68500e+03,1.04225e+04
4.68600e+03,1.14555e+04
4.68700e+03,1.25678e+04
4.68800e+03,1.37630e+04
