# bin number, rate
1.57580e+04,1.40507e-01
1.57590e+04,1.58186e-01
1.57600e+04,1.77992e-01
1.57610e+04,2.00168e-01
1.57620e+04,2.24984e-01
1.57630e+04,2.52737e-01
1.57640e+04,2.83759e-01
1.57650e+04,3.18414e-01
1.57660e+04,3.57107e-01
1.57670e+04,4.00281e-01
1.57680e+04,4.48431e-01
1.57690e+04,5.02097e-01
1.57700e+04,5.61879e-01
1.57710e+04,6.28436e-01
1.57720e+04,7.02491e-01
1.57730e+04,7.84845e-01
1.57740e+04,8.76374e-01
1.57750e+04,9.78043e-01
1.57760e+04,1.09091e+00
1.57770e+04,1.21614e+00
1.57780e+04,1.35500e+00
1.57790e+04,1.50890e+00
1.57800e+04,1.67936e+00
1.57810e+04,1.86805e+00
1.57820e+04,2.07682e+00
1.57830e+04,2.30765e+00
1.57840e+04,2.56275e+00
1.57850e+04,2.84449e+00
1.57860e+04,3.15549e+00
1.57870e+04,3.49858e+00
1.57880e+04,3.87686e+00
1.57890e+04,4.29370e+00
1.57900e+04,4.75278e+00
1.57910e+04,5.25807e+00
1.57920e+04,5.81392e+00
1.57930e+04,6.42503e+00
1.57940e+04,7.09651e+00
1.57950e+04,7.83391e+00
1.57960e+04,8.64322e+00
1.57970e+04,9.53096e+00
1.57980e+04,1.05042e+01
1.57990e+04,1.15704e+01
1.58000e+04,1.27380e+01
1.58010e+04,1.40158e+01
1.58020e+04,1.54134e+01
1.58030e+04,1.69412e+01
1.58040e+04,1.86103e+01
1.58050e+04,2.04327e+01
1.58060e+04,2.24214e+01
1.58070e+04,2.45903e+01
1.58080e+04,2.69544e+01
1.58090e+04,2.95298e+01
1.58100e+04,3.23337e+01
1.58110e+04,3.53846e+01
1.58120e+04,3.87023e+01
1.58130e+04,4.23082e+01
1.58140e+04,4.62250e+01
1.58150e+04,5.04771e+01
1.58160e+04,5.50904e+01
1.58170e+04,6.00928e+01
1.58180e+04,6.55140e+01
1.58190e+04,7.13855e+01
1.58200e+04,7.77411e+01
1.58210e+04,8.46168e+01
1.58220e+04,9.20508e+01
1.58230e+04,1.00084e+02
1.58240e+04,1.08759e+02
1.58250e+04,1.18122e+02
1.58260e+04,1.28222e+02
1.58270e+04,1.39110e+02
1.58280e+04,1.50841e+02
1.58290e+04,1.63473e+02
1.58300e+04,1.77067e+02
1.58310e+04,1.91688e+02
1.58320e+04,2.07405e+02
1.58330e+04,2.24288e+02
1.58340e+04,2.42416e+02
1.58350e+04,2.61867e+02
1.58360e+04,2.82726e+02
1.58370e+04,3.05082e+02
1.58380e+04,3.29028e+02
1.58390e+04,3.54662e+02
1.58400e+04,3.82088e+02
1.58410e+04,4.11412e+02
1.58420e+04,4.42749e+02
1.58430e+04,4.76215e+02
1.58440e+04,5.11935e+02
1.58450e+04,5.50038e+02
1.58460e+04,5.90659e+02
1.58470e+04,6.33938e+02
1.58480e+04,6.80022e+02
1.58490e+04,7.29064e+02
1.58500e+04,7.81223e+02
1.58510e+04,8.36662e+02
1.58520e+04,8.95554e+02
1.58530e+04,9.58075e+02
