# bin number, rate
4.81600e+03,1.41177e+02
4.81700e+03,1.22810e+02
4.81800e+03,1.06653e+02
4.81900e+03,9.24651e+01
4.82000e+03,8.00299e+01
4.82100e+03,6.91506e+01
4.82200e+03,5.96498e+01
4.82300e+03,5.13679e+01
4.82400e+03,4.41616e+01
4.82500e+03,3.79026e+01
4.82600e+03,3.24761e+01
4.82700e+03,2.77799e+01
4.82800e+03,2.37230e+01
4.82900e+03,2.02247e+01
4.83000e+03,1.72134e+01
4.83100e+03,1.46260e+01
4.83200e+03,1.24068e+01
4.83300e+03,1.05067e+01
4.83400e+03,8.88274e+00
4.83500e+03,7.49728e+00
4.83600e+03,6.31738e+00
4.83700e+03,5.31430e+00
4.83800e+03,4.46305e+00
4.83900e+03,3.74192e+00
4.84000e+03,3.13210e+00
4.84100e+03,2.61730e+00
4.84200e+03,2.18349e+00
4.84300e+03,1.81856e+00
4.84400e+03,1.51211e+00
4.84500e+03,1.25521e+00
4.84600e+03,1.04024e+00
4.84700e+03,8.60655e-01
4.84800e+03,7.10897e-01
4.84900e+03,5.86226e-01
4.85000e+03,4.82621e-01
4.85100e+03,3.96670e-01
4.85200e+03,3.25489e-01
4.85300e+03,2.66640e-01
4.85400e+03,2.18072e-01
4.85500e+03,1.78056e-01
4.85600e+03,1.45144e-01
4.85700e+03,1.18121e-01
4.85800e+03,9.59711e-02
4.85900e+03,7.78466e-02
4.86000e+03,6.30413e-02
4.86100e+03,5.09680e-02
4.86200e+03,4.11394e-02
4.86300e+03,3.31517e-02
4.86400e+03,2.66711e-02
